idtitlecreatedAtclosedAtclosed
MDU6SXNzdWUyODQyOTEwMTM=what's wrong ?2017-12-23T07:03:00Z2017-12-27T00:42:06ZTrue
MDU6SXNzdWUzNjMwMDQ2ODQ=Unknown Firewall (67cec44db)2018-09-24T03:11:49Z2018-09-24T03:53:06ZTrue
MDU6SXNzdWUzNjMwMjE1NDU=Unknown Firewall (fd8bcf548)2018-09-24T05:53:39Z2018-09-25T20:25:19ZTrue
MDU6SXNzdWUzNjMwMjg2NTk=Unknown Firewall (7ceb496e0)2018-09-24T06:42:52Z2018-09-28T16:10:35ZTrue
MDU6SXNzdWUzNjM0Mzg0OTI=Unknown Firewall (19cfebbd3)2018-09-25T07:08:48Z2018-09-25T20:26:05ZTrue
MDU6SXNzdWUzNjQyNjk0MDI=whatwaf --help not working2018-09-27T01:20:06Z2018-09-28T13:25:28ZTrue
MDU6SXNzdWUzNjUyMDM0MjM=Regular install with install.sh requires root permissions2018-09-30T08:03:01Z2018-10-01T16:08:59ZTrue
MDU6SXNzdWUzNjUyMTY4NjA=Unknown Firewall (d638cdd52)2018-09-30T11:21:46Z2018-11-21T14:25:25ZTrue
MDU6SXNzdWUzNjU2ODc4NTU=Namespace error2018-10-01T23:58:50Z2018-10-15T13:42:20ZTrue
MDU6SXNzdWUzNzAwNTM5ODk=Unknown Firewall (4a6d623a2)2018-10-15T08:33:10Z2018-10-15T13:43:07ZTrue
MDU6SXNzdWUzNzE2MzkxNjc=Unknown Firewall (d929990fb)2018-10-18T17:45:19Z2018-11-21T14:26:27ZTrue
MDU6SXNzdWUzNzU5NTg0MTg=Unknown Firewall (dba2b6f04)2018-10-31T13:19:55Z2018-11-06T21:00:32ZTrue
MDU6SXNzdWUzNzY3OTg3Mjg=Unknown Firewall (e841a2725)2018-11-02T12:54:56Z2018-11-06T21:01:06ZTrue
MDU6SXNzdWUzNzk1MTAxMTA=Unknown Firewall (2551900c8)2018-11-11T10:37:38Z2018-11-14T21:30:51ZTrue
MDU6SXNzdWUzODEwODAzNzM=Unknown Firewall (b3778b84c)2018-11-15T09:50:54Z2018-11-21T14:06:48ZTrue
MDU6SXNzdWUzODI2NjMyNjY=Unknown Firewall (cd97fc7c9)2018-11-20T13:28:32Z2018-11-21T14:07:21ZTrue
MDU6SXNzdWUzODI3MjEzNzY=Unknown Firewall (eef6346a4)2018-11-20T15:39:36Z2018-11-21T14:07:38ZTrue
MDU6SXNzdWUzODI5MzYxNzg=Unknown Firewall (9b91222b7)2018-11-21T03:08:09Z2018-11-21T14:27:56ZTrue
MDU6SXNzdWUzODMwNjgwMDk=Unknown Firewall (cb5a30b9f)2018-11-21T11:09:28Z2018-11-21T14:15:04ZTrue
MDU6SXNzdWUzODM1Mjc4Nzg=Unknown Firewall (eb5135308)2018-11-22T13:05:52Z2018-11-28T20:11:00ZTrue
MDU6SXNzdWUzODQ3MjA1NTQ=Unknown Firewall (9c15e7f91)2018-11-27T10:19:10Z2018-11-28T20:10:33ZTrue
MDU6SXNzdWUzODUxNjYxODQ=Unknown Firewall (e3187601c)2018-11-28T09:05:24Z2018-11-28T20:09:54ZTrue
MDU6SXNzdWUzODUyMTc1NTM=Unknown Firewall (65c5628fb)2018-11-28T11:12:19Z2018-11-28T20:08:52ZTrue
MDU6SXNzdWUzODUyMzg4NjQ=Unknown Firewall (7eb4f385c)2018-11-28T12:10:35Z2018-11-28T20:08:38ZTrue
MDU6SXNzdWUzODUyNTc3NTU=Unknown Firewall (3331e552f)2018-11-28T13:01:42Z2018-11-28T20:07:51ZTrue
MDU6SXNzdWUzODUyNTc5MDQ=Unknown Firewall (ea94a71e7)2018-11-28T13:02:07Z2018-11-28T20:07:38ZTrue
MDU6SXNzdWUzODUyNTgwMDI=Unknown Firewall (595798340)2018-11-28T13:02:22Z2018-11-28T20:07:24ZTrue
MDU6SXNzdWUzODUzMDU0NzM=Unknown Firewall (e20b10a8f)2018-11-28T14:54:42Z2018-11-28T20:07:11ZTrue
MDU6SXNzdWUzODUzNDI2NjY=Unknown Firewall (ef9977161)2018-11-28T16:10:01Z2018-11-28T20:06:00ZTrue
MDU6SXNzdWUzODUzNDU1MzI=Unknown Firewall (6028b8eb1)2018-11-28T16:16:11Z2018-11-28T20:05:03ZTrue
MDU6SXNzdWUzODgxMzc4MTk=Unknown Firewall (9bbcb05be)2018-12-06T10:00:21Z2018-12-06T20:30:15ZTrue
MDU6SXNzdWUzODg1MDA4ODg=Unknown Firewall (bc0e9459b)2018-12-07T04:25:01Z2018-12-07T14:26:24ZTrue
MDU6SXNzdWUzODg1MTI3NDI=Unknown Firewall (e53fded1d)2018-12-07T05:37:38Z2018-12-07T14:29:01ZTrue
MDU6SXNzdWUzODg1MTM5MTQ=Unknown Firewall (5db405a1f)2018-12-07T05:44:23Z2018-12-07T14:29:26ZTrue
MDU6SXNzdWUzODg2MzMzNzY=Unknown Firewall (b3bf088c2)2018-12-07T12:22:47Z2018-12-07T14:32:48ZTrue
MDU6SXNzdWUzODg2NTkzMTE=Unknown Firewall (9378281bc)2018-12-07T13:40:42Z2018-12-07T14:33:30ZTrue
MDU6SXNzdWUzOTA1MzY3Njg=Unknown Firewall (cf681cd88)2018-12-13T06:31:52Z2018-12-13T14:31:20ZTrue
MDU6SXNzdWUzOTA1NDM2Mzk=Unknown Firewall (b9d96cf62)2018-12-13T07:00:35Z2018-12-13T14:31:36ZTrue
MDU6SXNzdWUzOTIzNDkzMDU=test issue2018-12-18T21:46:48Z2018-12-18T21:47:27ZTrue
MDU6SXNzdWUzOTIzNDk1NTE=test issue 22018-12-18T21:47:33Z2018-12-18T21:48:08ZTrue
MDU6SXNzdWUzOTIzNDk4MTM=test issue 32018-12-18T21:48:14Z2018-12-18T21:51:16ZTrue
MDU6SXNzdWUzOTIzNTIwMDY=test issue 42018-12-18T21:54:38Z2018-12-18T21:55:29ZTrue
MDU6SXNzdWUzOTIzNTIzNTA=test issue 52018-12-18T21:55:35Z2018-12-18T21:58:08ZTrue
MDU6SXNzdWUzOTIzNTMyNDI=test issue 62018-12-18T21:58:16Z2018-12-18T21:58:36ZTrue
MDU6SXNzdWUzOTI1ODczMzQ=Unknown Firewall (c8f73008d)2018-12-19T12:50:09Z2018-12-19T15:28:50ZTrue
MDU6SXNzdWUzOTI2NTUyMDk=Whatwaf Unhandled Exception (e11a29d06)2018-12-19T15:34:11Z2018-12-19T15:37:06ZTrue
MDU6SXNzdWUzOTI3MjAwNDA=Unknown Firewall (ed370bbbd)2018-12-19T18:12:43Z2018-12-21T14:44:44ZTrue
MDU6SXNzdWUzOTI4NzU5MzU=Unknown Firewall (0b4e2df2c)2018-12-20T03:47:29Z2018-12-21T14:47:03ZTrue
MDU6SXNzdWUzOTMxNjIyMDE=Unknown Firewall (3f8b36c54)2018-12-20T18:28:41Z2018-12-21T14:47:18ZTrue
MDU6SXNzdWUzOTM2NzQyNzA=Unknown Firewall (578e1694e)2018-12-22T13:39:46Z2018-12-23T21:54:11ZTrue
MDU6SXNzdWUzOTM3ODEwODA=Whatwaf Unhandled Exception (fa85fa668)2018-12-23T21:17:06Z2019-01-10T17:01:27ZTrue
MDU6SXNzdWUzOTM3ODcwMDA=Unknown Firewall (9284c4b1b)2018-12-23T23:08:39Z2018-12-28T16:18:42ZTrue
MDU6SXNzdWUzOTM3ODc0MTQ=Unknown Firewall (a0fc46989)2018-12-23T23:16:12Z2019-01-16T15:15:02ZTrue
MDU6SXNzdWUzOTQzMjEzNjk=Unknown Firewall (113d72b2d)2018-12-27T07:45:10Z2019-01-16T15:22:10ZTrue
MDU6SXNzdWUzOTQ2MjEwMzU=Whatwaf Unhandled Exception (d876f16b6)2018-12-28T11:57:59Z2019-01-10T16:57:30ZTrue
MDU6SXNzdWUzOTQ2MjEwODY=Whatwaf Unhandled Exception (0851de06d)2018-12-28T11:58:16Z2018-12-28T16:17:09ZTrue
MDU6SXNzdWUzOTY1OTY0NjA=Unknown Firewall (cb718b98d)2019-01-07T18:22:10Z2019-01-10T16:44:27ZTrue
MDU6SXNzdWUzOTY2MzAxMjQ=Unknown Firewall (c5a84a440)2019-01-07T20:05:14Z2019-01-10T16:45:28ZTrue
MDU6SXNzdWUzOTc1MTc3MzY=Unknown Firewall (32e6e221e)2019-01-09T19:21:12Z2019-01-16T15:21:13ZTrue
MDU6SXNzdWUzOTc3MzM3MzY=Whatwaf Unhandled Exception (49ae56bd3)2019-01-10T09:08:16Z2019-01-10T17:01:41ZTrue
MDU6SXNzdWUzOTc3MzM3Mzc=Whatwaf Unhandled Exception (49ae56bd3)2019-01-10T09:08:16Z2019-01-10T16:47:36ZTrue
MDU6SXNzdWUzOTc3MzM3NDI=Whatwaf Unhandled Exception (6b4aadfb1)2019-01-10T09:08:17Z2019-01-10T16:47:54ZTrue
MDU6SXNzdWUzOTc4MjcyNDU=Unknown Firewall (550b2f7af)2019-01-10T13:20:02Z2019-01-10T17:01:53ZTrue
MDU6SXNzdWUzOTc4Njg0NDE=Unknown Firewall (58d0c9c2d)2019-01-10T14:57:56Z2019-01-10T16:50:28ZTrue
MDU6SXNzdWUzOTg4MDU5NDI=Unknown Firewall (9339ef506)2019-01-14T09:28:50Z2019-01-16T15:13:40ZTrue
MDU6SXNzdWUzOTk2MzQyMTg=Unknown Firewall (6c9167e11)2019-01-16T03:38:38Z2019-01-16T15:14:00ZTrue
MDU6SXNzdWU0MDE4ODk3NTE=Unknown Firewall (0b6166f59)2019-01-22T18:12:37Z2019-01-31T16:05:30ZTrue
MDU6SXNzdWU0MDI0MjkzMzI=Whatwaf Unhandled Exception (bb8c4942d)2019-01-23T21:05:09Z2019-01-31T15:59:07ZTrue
MDU6SXNzdWU0MDMwMjgyMDM=Unknown Firewall (fd27eb9c9)2019-01-25T06:52:18Z2019-01-31T16:06:13ZTrue
MDU6SXNzdWU0MDM3ODAwOTU=Unknown Firewall (f5053d22b)2019-01-28T11:59:45Z2019-01-31T16:07:29ZTrue
MDU6SXNzdWU0MDQ5NjA4OTI=No JSON Output2019-01-30T20:56:33Z2019-01-31T15:56:16ZTrue
